,Note Name,Frequency,Times,Duration
0,rest,0.0,0.8359183673469388,0.5340589569160998
1,C#4-10,275.5861764973082,1.3699773242630386,0.34829931972789097
2,C4-10,260.1187129259726,1.7182766439909296,2.4845351473922905
3,D4+0,293.6647679174075,4.20281179138322,2.275555555555556
4,D#4+40,318.39923223688317,6.478367346938776,0.06965986394557788
5,E4+0,329.62755691287,6.548027210884354,0.2321995464852611
6,E4+10,331.53706992440675,6.780226757369615,2.043356009070294
7,F4+20,353.2860680198856,8.823582766439909,0.06965986394557788
8,F4+20,353.2860680198856,8.893242630385487,2.1826757369614516
9,G4-40,383.0422478502946,11.075918367346938,0.09287981859410444
10,G4+10,394.2662424412591,11.168798185941043,1.3003174603174603
11,rest,0.0,12.469115646258503,0.7662585034013603
12,A4+10,442.54889406985563,13.235374149659863,0.09287981859410444
13,A4+30,447.6910645251822,13.328253968253968,2.205895691609978
14,A#4-30,458.15534711531484,15.534149659863946,0.20897959183673365
15,B4+20,499.6219487911861,15.74312925170068,2.0201360544217692
16,C5-10,520.237425851945,17.76326530612245,0.06965986394557788
17,C5+20,529.3310158761313,17.832925170068027,4.62077097505669
18,rest,0.0,22.453696145124717,1.021678004535147
19,rest,0.0,23.475374149659864,0.6965986394557824
20,rest,0.0,24.171972789115646,0.20897959183673365
21,rest,0.0,24.38095238095238,1.137777777777778
22,rest,0.0,25.518730158730158,0.9520181405895691
23,rest,0.0,26.470748299319727,0.8823582766439912
24,rest,0.0,27.353106575963718,0.37151927437641774
