,Note Name,Frequency,Times,Duration,Cents
0,rest,0.0,0.33668934240362813,0.5572789115646258,0
1,rest,0.0,0.893968253968254,0.4179591836734694,0
2,rest,0.0,1.3119274376417234,0.9055782312925171,0
3,C4,258.62053938239393,2.2175056689342405,0.6965986394557824,-20
4,C#4,275.5861764973082,2.914104308390023,0.27863945578231286,-10
5,G4,387.4929843823054,3.1927437641723357,0.1973696145124717,-20
6,G4,387.4929843823054,3.3901133786848074,0.24380952380952348,-20
7,G4,389.73770840503875,3.633922902494331,0.6501587301587302,-10
8,A4,440.0,4.284081632653061,0.6733786848072567,0
9,A4,440.0,4.957460317460318,0.6617687074829925,0
10,G4,387.4929843823054,5.61922902494331,1.2074376417233568,-20
11,F4,349.2282314330039,6.826666666666667,0.7778684807256235,0
12,F4,347.21682482900223,7.604535147392291,0.13931972789115576,-10
13,F4,347.21682482900223,7.743854875283446,0.3366893424036288,-10
14,F4,347.21682482900223,8.080544217687075,0.13931972789115576,-10
15,E4,329.62755691287,8.219863945578231,0.650158730158731,0
16,E4,329.62755691287,8.870022675736962,0.19736961451247126,0
17,E4,329.62755691287,9.067392290249433,0.48761904761904695,0
18,D4,288.61978297623875,9.55501133786848,0.6965986394557824,-30
19,D4,290.29174037003673,10.251609977324263,0.7082086167800465,-20
20,C4,260.1187129259726,10.95981859410431,0.6733786848072558,-10
